restaurant_id,name,price,ingredients,visibility,description
1,Lasagna alla Bolognese,12,"pasta per lasagna, carne macinata di manzo, carne macinata di maiale, pomodoro, cipolla, carota, sedano, latte, burro, farina, parmigiano reggiano, olio d'oliva, sale, pepe, noce moscata.",1,"Strati di pasta con ragù di carne, besciamella e parmigiano, cotti al forno."
1,Risotto ai Funghi Porcini,14,"riso Arborio, funghi porcini, brodo vegetale, cipolla, burro, parmigiano reggiano, vino bianco, olio d'oliva, sale, pepe.",1,"Risotto cremoso con funghi porcini freschi o secchi, brodo e parmigiano."
1,Spaghetti Carbonara,10,"spaghetti, guanciale, uova, pecorino romano, parmigiano reggiano, pepe nero, sale.",1,"Spaghetti con salsa a base di uova, guanciale croccante, pecorino e pepe nero."
1,Melanzane alla Parmigiana,11,"melanzane, pomodori pelati, mozzarella, parmigiano reggiano, basilico, olio d'oliva, sale, pepe, farina.",1,"Fette di melanzane fritte, alternate con salsa di pomodoro, mozzarella e parmigiano, cotte al forno."
1,Tiramisu,5,"savoiardi, mascarpone, uova, zucchero, caffè, cacao amaro, marsala, vaniglia.",1,"Dolce a base di savoiardi imbevuti nel caffè, crema di mascarpone e cacao."
2,Ravioli al Vapore,8,"pasta per ravioli, carne di maiale o pollo tritata, cipolla, salsa di soia, zenzero, aglio, cavolo, olio di sesamo.",1,"Ravioli ripieni di carne o verdure, cotti al vapore."
2,Anatra alla Pechinese,18,"anatra intera, salsa hoisin, cipollotto, cetriolo, pancake cinese, zucchero, sale, pepe, vino di riso.",1,"Anatra croccante, servita con pancake e salsa di soia."
2,Manzo con Verdure,12,"manzo, peperoni, cipolla, carota, broccoli, salsa di soia, zenzero, aglio, olio di sesamo, sale, pepe.",1,Carne di manzo cucinata con verdure in salsa di soia.
2,Zuppa di Pesce Piccante,9,"pesce misto (merluzzo, gamberi, calamari), pomodori, peperoncino, cipolla, aglio, brodo di pesce, olio d'oliva, prezzemolo, sale, pepe.",1,"Zuppa piccante con pesce e frutti di mare, arricchita con peperoncino e spezie."
2,Riso alla Cantonese,7,"riso, uova, piselli, prosciutto cotto, salsa di soia, cipolla, olio di sesamo, sale, pepe.",1,"Riso fritto con uova, piselli, prosciutto e talvolta gamberetti."
3,Tacos al Pastor,8,"carne di maiale, ananas, cipolla, pepe, cumino, coriandolo, tortillas di mais, salsa adobo, salsa verde.",1,"Carne di maiale marinata, cotta su uno spiedo verticale, servita con tortillas."
3,Burritos con Carne Asada,10,"carne di manzo (asada), tortillas di farina, fagioli neri, riso, cipolla, guacamole, salsa piccante, formaggio cheddar.",1,"Burrito ripieno di carne grigliata, guacamole, fagioli, riso e salsa."
3,Enchiladas Verdes,11,"tortillas di mais, pollo, salsa verde (tomatillo), cipolla, crema, formaggio, olio per friggere, coriandolo.",1,"Tortillas ripiene di carne, ricoperte con salsa verde a base di tomatillo e peperoncino, cotte al forno."
3,Guacamole con Nachos,6,"avocado, pomodoro, cipolla, lime, coriandolo, peperoncino, sale, nachos.",1,Salsa di avocado servita con nachos croccanti.
3,Quesadillas con Formaggio e Pollo,9,"tortillas di farina, pollo, formaggio cheddar, cipolla, peperoni, olio d'oliva.",1,"Tortillas farcite con pollo e formaggio, cotte fino a diventare croccanti."
4,Chicken Tikka Masala,13,"pollo, yogurt, spezie (garam masala, curcuma, paprika), pomodori, panna, aglio, zenzero, cipolla, riso.",1,"Pollo marinato in yogurt e spezie, cotto in una salsa di pomodoro e panna."
4,Butter Chicken,14,"pollo, burro, pomodori, panna, spezie (curcuma, paprika, garam masala), aglio, cipolla, riso.",1,"Pollo cucinato in salsa ricca di burro e panna, con spezie aromatiche."
4,Samosa di Verdure,6,"patate, piselli, cipolla, curry in polvere, fogli di pasta per samosa, olio per friggere, zenzero, coriandolo.",1,Triangoli di pasta fritta ripieni di verdure miste e spezie.
4,Naan al Burro,4,"farina, lievito, latte, burro, yogurt, zucchero, sale.",1,"Pane indiano cotto nel forno tandoor, spennellato con burro fuso."
4,Riso Pilaf con Zafferano,10,"riso basmati, zafferano, cipolla, burro, brodo di pollo, sale, pepe, uvetta (opzionale), mandorle",1,"Riso cucinato con brodo e zafferano, dal sapore delicato."
5,Sushi Misto (Nigiri e Sashimi),18,"riso per sushi, aceto di riso, zucchero, sale, alga nori, salmone fresco, tonno fresco, wasabi, salsa di soia, zenzero sott'aceto",1,"Noodles in brodo di soia, serviti con carne di maiale, uova e alghe."
5,Tempura di Gamberi,12,"gamberi, farina di frumento, farina di riso, acqua ghiacciata, uovo, sale, pepe, olio per friggere.",1,Gamberi immersi in pastella leggera e fritti fino a doratura.
5,Ramen alla Soia,11,"noodles per ramen, brodo di pollo, salsa di soia, cipolla, aglio, zenzero, uovo sodo, alga nori, carne di maiale (optionale), olio di sesamo",1,"Zuppa di noodles in brodo di soia con carne, uova, cipolla e alghe."
5,Makimono (Rotoli di Sushi),9,"alga nori, riso per sushi, aceto di riso, zucchero, sale, pesce crudo (salmone, tonno), avocado, cetriolo, wasabi.",1,"Sushi arrotolato con alga nori, riso e vari ripieni come tonno e salmone."
5,Onigiri al Salmone,7,"riso per sushi, aceto di riso, sale, salmone cotto o affumicato, alga nori.",1,"Triangoli di riso giapponese ripieni di salmone, spesso avvolti in alga nori."
6,Curry di Verdure,8,"patate, carote, zucchine, cipolla, pomodoro, curry in polvere, latte di cocco, brodo vegetale, olio d'oliva, sale, pepe",1,Verdure cotte in una salsa di curry e latte di cocco.
6,Frittata di Verdure,6,"uova, zucchine, peperoni, cipolla, pomodori, olio d'oliva, sale, pepe, formaggio",1,Uova sbattute e cotte in padella con verdure miste.
6,Insalata di Quinoa con Verdure,7,"quinoa, cetriolo, pomodorini, peperoni, avocado, limone, olio d'oliva, sale, pepe.",1,"Insalata di quinoa con verdure fresche, condite con olio d'oliva e limone."
6,Zuppa di Lenticchie,7,"lenticchie, cipolla, carota, sedano, aglio, brodo vegetale, pomodoro pelato, olio d'oliva, pepe, sale, rosmarino.",1,"Zuppa densa di lenticchie, cipolla, carote, sedano e spezie."
6,Lasagna Vegetariana,11,"pasta per lasagna, ricotta, spinaci, mozzarella, parmigiano, pomodoro, cipolla, aglio, basilico, olio d'oliva.",1,"Alternativa vegetariana alla lasagna, con pasta, ricotta, spinaci e salsa di pomodoro."
7,Falafel con Salsa Tahini,8,"ceci, cipolla, aglio, prezzemolo, coriandolo, cumino, pepe, sale, farina, olio per friggere, tahini.",1,Polpette di ceci fritte servite con una salsa tahini a base di sesamo e limone.
7,Burger Vegano con Avocado,12,"hamburger vegano (fagioli, ceci, soia), avocado, pane per burger, insalata, pomodoro, cipolla, maionese vegana, ketchup.",1,"Burger vegano con avocado fresco, condimenti e un panino morbido."
7,Hummus e Pita,6,"ceci, tahini, aglio, succo di limone, olio d'oliva, sale, pepe, pita.",1,"Crema di ceci frullati con aglio, olio d'oliva, succo di limone e tahini, servita con pane pita."
7,Tofu alla Griglia,9,"tofu, salsa di soia, olio di sesamo, aglio, zenzero, cipolla verde, semi di sesamo.",1,"Tofu marinato e grigliato, servito con verdure o riso."
7,Insalata di Ceci con Verdure Fresche,7,"ceci, cetriolo, pomodorini, cipolla rossa, olive nere, olio d'oliva, succo di limone, prezzemolo, pepe",1,"Insalata fresca di ceci, con verdure di stagione, condita con olio d'oliva e limone."
8,Hamburger Classico con Formaggio,9,"carne di manzo, pane per hamburger, formaggio cheddar, lattuga, pomodoro, cipolla, ketchup, senape, sale, pepe.",1,"Hamburger di manzo con formaggio fuso, servito con pane e contorni."
8,Cheeseburger Bacon,11,"carne di manzo, bacon, formaggio cheddar, pane per hamburger, lattuga, pomodoro, cipolla, ketchup, senape, sale, pepe.",1,"Hamburger di manzo con formaggio e bacon croccante, servito con contorni."
8,Patatine Fritte,3,"patate, olio per friggere, sale.",1,"Patate tagliate a bastoncini, fritte fino a diventare croccanti."
8,Hot Dog con Cipolle Caramellate,6,"salsicce, pane per hot dog, cipolle, zucchero, aceto balsamico, ketchup, senape",1,Hot dog servito con cipolle caramellate e condimenti.
